Pay Grade/Step,Annual Salary,Class #,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
SR1200,"56,318.21",07783,Info Systems App Analyst 3,Information Technology Service,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1974,10/25/12,Y
SR0402,"24,481.13",02900,Circulation Asst 1,Public Library,Full Time,006,Administrative Support,F,02,Black,1988,12/8/14,N
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1986,10/29/12,N
NS,"36,036.00",10816,Satellite position,Circuit Court Satellite,Full Time,006,Administrative Support,F,02,Black,1956,11/1/12,N
SR1300,"67,338.67",10108,Finance Admin,Finance,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,10/29/12,Y
CO0104,"36,483.46",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/1/12,N
PS0403,"49,075.90",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1986,1/1/13,N
SR0801,"36,853.92",10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1989,11/1/12,N
CO0203,"39,310.55",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1980,11/1/12,N
CO0202,"38,082.24",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1984,11/1/12,N
CO0202,"38,082.24",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,11/1/12,N
CO0205,"41,767.19",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,11/1/12,N
SR0802,"38,082.24",10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1988,11/1/12,N
CO0104,"36,483.46",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1989,11/1/12,N
CO0202,"38,082.24",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1966,11/1/12,N
CO0104,"36,483.46",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1964,11/1/12,N
SR0704,"36,483.46",07711,Sheriff Prisoner Processor 1,Sheriff,Full Time,006,Administrative Support,F,02,Black,1989,11/1/12,N
CO0104,"36,483.46",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,11/1/12,N
CO0202,"38,082.24",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,03,Hispanic,1982,11/1/12,N
CO0202,"38,082.24",06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,11/1/12,N
SR1001,"45,086.06",04710,Probation Officer 2,Juvenile Court,Full Time,002,Professionals,M,02,Black,1985,11/5/12,N
SR1001,"45,086.08",04710,Probation Officer 2,Juvenile Court,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/5/12,N
CA0300,"39,457.60",10654,Accounting Clerk-Conv Ctr,Convention Center Authority,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1980,11/5/12,N
SR1104,"54,612.08",07756,Technical Specialist 1,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1966,11/16/12,N
HD0300,"35,422.41",10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1962,10/27/12,N
SR0704,"27,362.40",06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1956,10/30/12,N
TG1103,"42,799.61",01880,Equip Mechanic,General Services,Full Time,007,Skilled Craft Workers,M,02,Black,1976,10/29/12,N
SR1100,"49,648.54",07720,Admin Spec,Public Works,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1973,11/12/12,N
ET0302,"42,178.09",10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1979,11/12/12,N
ET0302,"42,178.09",10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/12/12,N
SR0803,"39,310.55",07243,Admin Svcs Officer 2,Metropolitan Clerk,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/19/12,N
SR0801,"36,853.92",10102,Application Tech 2,Finance,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1957,11/19/12,Y
MAC08B,"38,362.36",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1989,11/12/12,N
SR1300,"68,090.45",07346,Human Resources Admin,Public Library,Full Time,002,Professionals,F,02,Black,1962,11/19/12,Y
MAC01A,"24,776.74",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1965,11/10/14,N
HD0300,"35,422.41",10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1950,11/10/12,N
